title,author,date,views,likes,link
Climate action needs new frontline leadership,Ozawa Bineshi Albert,December 2021,404000,12000,https://ted.com/talks/ozawa_bineshi_albert_climate_action_needs_new_frontline_leadership
The dark history of the overthrow of Hawaii,Sydney Iaukea,February 2022,214000,6400,https://ted.com/talks/sydney_iaukea_the_dark_history_of_the_overthrow_of_hawaii
How play can spark new ideas for your business,Martin Reeves,September 2021,412000,12000,https://ted.com/talks/martin_reeves_how_play_can_spark_new_ideas_for_your_business
Why is China appointing judges to combat climate change?,James K. Thornton,October 2021,427000,12000,https://ted.com/talks/james_k_thornton_why_is_china_appointing_judges_to_combat_climate_change
Cement's carbon problem — and 2 ways to fix it,Mahendra Singhi,October 2021,2400,72,https://ted.com/talks/mahendra_singhi_cement_s_carbon_problem_and_2_ways_to_fix_it
The tragedy of air pollution — and an urgent demand for clean air,Rosamund Adoo-Kissi-Debrah,October 2021,422000,12000,https://ted.com/talks/rosamund_adoo_kissi_debrah_the_tragedy_of_air_pollution_and_an_urgent_demand_for_clean_air
The myth of Narcissus and Echo,Iseult Gillespie,February 2022,412000,12000,https://ted.com/talks/iseult_gillespie_the_myth_of_narcissus_and_echo
You deserve the right to repair your stuff,Gay Gordon-Byrne,August 2021,455000,13000,https://ted.com/talks/gay_gordon_byrne_you_deserve_the_right_to_repair_your_stuff
What nature can teach us about sustainable business,Erin Meezan,February 2022,66000,1900,https://ted.com/talks/erin_meezan_what_nature_can_teach_us_about_sustainable_business
The origins of blackface and Black stereotypes,Dwan Reece,March 2019,584000,17000,https://ted.com/talks/dwan_reece_the_origins_of_blackface_and_black_stereotypes
A sex therapist's secret to rediscovering your spark,Ian Kerner,August 2021,87000,2600,https://ted.com/talks/ian_kerner_a_sex_therapist_s_secret_to_rediscovering_your_spark
How do jetpacks work? And why don't we all have them?,Richard Browning,February 2022,213000,6400,https://ted.com/talks/richard_browning_how_do_jetpacks_work_and_why_don_t_we_all_have_them
What regret can teach you about living a good life,Daniel H. Pink,January 2022,622000,18000,https://ted.com/talks/daniel_h_pink_what_regret_can_teach_you_about_living_a_good_life
"How to fix the ""bugs"" in the net-zero code,Lucas Joppa,October 2021,526000,15000,https://ted.com/talks/lucas_joppa_how_to_fix_the_bugs_in_the_net_zero_code"
"""Big Yellow Taxi"" / ""Song for Sunshine"", Belle and Sebastian,October 2021,23000,690,https://ted.com/talks/belle_and_sebastian_big_yellow_taxi_song_for_sunshine"
How film captures the space between hope and despair,Mounia Akl,December 2021,628000,18000,https://ted.com/talks/mounia_akl_how_film_captures_the_space_between_hope_and_despair
"What is ""normal"" and what is ""different""?,Yana Buhrer Tavanier,February 2022,459000,13000,https://ted.com/talks/yana_buhrer_tavanier_what_is_normal_and_what_is_different"
The ocean's ingenious climate solutions,Susan Ruffo,October 2021,522000,15000,https://ted.com/talks/susan_ruffo_the_ocean_s_ingenious_climate_solutions
How we're reducing the climate impact of electronics,Tim Dunn,February 2022,96000,2900,https://ted.com/talks/tim_dunn_how_we_re_reducing_the_climate_impact_of_electronics
A vibrant dance performance of funk classics, Let It Happen,October 2021,4500,135,https://ted.com/talks/let_it_happen_a_vibrant_dance_performance_of_funk_classics
"""Dive In"",Dave Matthews,October 2021,1600,49,https://ted.com/talks/dave_matthews_dive_in"
Got millet? How marketing could improve the lives of African farmers,Zoë Karl-Waithaka,September 2021,667000,20000,https://ted.com/talks/zoe_karl_waithaka_got_millet_how_marketing_could_improve_the_lives_of_african_farmers
The myth of Gawain and the Green Knight,Dan Kwartler,February 2022,456000,13000,https://ted.com/talks/dan_kwartler_the_myth_of_gawain_and_the_green_knight
How wind energy could power Earth ... 18 times over,Dan Jørgensen,October 2021,632000,18000,https://ted.com/talks/dan_jorgensen_how_wind_energy_could_power_earth_18_times_over
The incredible cancer-detecting potential of photoacoustic imaging,Lei Li,August 2021,97000,2900,https://ted.com/talks/lei_li_the_incredible_cancer_detecting_potential_of_photoacoustic_imaging
How to fix two of the most broken systems in the US,Nick Turner and Whitney Pennington Rodgers,November 2021,609000,18000,https://ted.com/talks/nick_turner_and_whitney_pennington_rodgers_how_to_fix_two_of_the_most_broken_systems_in_the_us
Can you outsmart the fallacy that divided a nation?,Elizabeth Cox,February 2022,363000,10000,https://ted.com/talks/elizabeth_cox_can_you_outsmart_the_fallacy_that_divided_a_nation
Sex education should start with consent, Kaz,December 2021,649000,19000,https://ted.com/talks/kaz_sex_education_should_start_with_consent
Smart solutions to decarbonize buildings,Katie McGinty,January 2022,134000,4000,https://ted.com/talks/katie_mcginty_smart_solutions_to_decarbonize_buildings
How to provide cooling for everyone — without warming the planet,Rachel Kyte,October 2021,613000,18000,https://ted.com/talks/rachel_kyte_how_to_provide_cooling_for_everyone_without_warming_the_planet
The mind-bending art of deep time,Katie Paterson,December 2021,817000,24000,https://ted.com/talks/katie_paterson_the_mind_bending_art_of_deep_time
The myth of Anansi, the trickster spider,Emily Zobel Marshall,January 2022,411000,12000,https://ted.com/talks/emily_zobel_marshall_the_myth_of_anansi_the_trickster_spider
 A different understanding of American patriotism,Deval Patrick,July 2021,700000,21000,https://ted.com/talks/deval_patrick_a_different_understanding_of_american_patriotism
4 ways to redefine power at work to include women of color,Rha Goddess and Deepa Purushothaman,December 2021,678000,20000,https://ted.com/talks/rha_goddess_and_deepa_purushothaman_4_ways_to_redefine_power_at_work_to_include_women_of_color
How to boost nature-based solutions to climate change,Zac Goldsmith,October 2021,30000,913,https://ted.com/talks/zac_goldsmith_how_to_boost_nature_based_solutions_to_climate_change
Which animal has the best eyesight?,Thomas W. Cronin,January 2022,743000,22000,https://ted.com/talks/thomas_w_cronin_which_animal_has_the_best_eyesight
The new reality of fashion is digital,Gala Marija Vrbanic,December 2021,669000,20000,https://ted.com/talks/gala_marija_vrbanic_the_new_reality_of_fashion_is_digital
Are brain waves the secret to treating Alzheimer's?,Li-Huei Tsai,August 2021,766000,23000,https://ted.com/talks/li_huei_tsai_are_brain_waves_the_secret_to_treating_alzheimer_s
What if women built the world they want to see?,Emily Pilloton-Lam,December 2021,789000,23000,https://ted.com/talks/emily_pilloton_lam_what_if_women_built_the_world_they_want_to_see
How to fix broken supply chains,Dustin Burke,September 2021,800000,24000,https://ted.com/talks/dustin_burke_how_to_fix_broken_supply_chains
Can you solve the birthday cake riddle?,Marie Brodsky,January 2022,601000,18000,https://ted.com/talks/marie_brodsky_can_you_solve_the_birthday_cake_riddle
What you need to know about carbon removal,Gabrielle Walker,October 2021,732000,21000,https://ted.com/talks/gabrielle_walker_what_you_need_to_know_about_carbon_removal
How radical hospitality can change the lives of the formerly incarcerated,Reuben Jonathan Miller,November 2021,751000,22000,https://ted.com/talks/reuben_jonathan_miller_how_radical_hospitality_can_change_the_lives_of_the_formerly_incarcerated
The tragic myth of the Sun God's son,Iseult Gillespie,January 2022,998000,29000,https://ted.com/talks/iseult_gillespie_the_tragic_myth_of_the_sun_god_s_son
The unexpected, underwater plant fighting climate change,Carlos M. Duarte,August 2021,786000,23000,https://ted.com/talks/carlos_m_duarte_the_unexpected_underwater_plant_fighting_climate_change
How to break down barriers and not accept limits,Candace Parker,December 2021,1000000,32000,https://ted.com/talks/candace_parker_how_to_break_down_barriers_and_not_accept_limits
"""A Ride With Polly Jean"" / ""Ali Farka Touche"",Jenny Scheinman with Nels Cline and Todd Sickafoose,August 2021,20000,606,https://ted.com/talks/jenny_scheinman_with_nels_cline_and_todd_sickafoose_a_ride_with_polly_jean_ali_farka_touche"
Why do cats have vertical pupils?,Emma Bryce,January 2022,2300000,70000,https://ted.com/talks/emma_bryce_why_do_cats_have_vertical_pupils
Why great leaders take humor seriously,Jennifer Aaker and Naomi Bagdonas,August 2021,1000000,32000,https://ted.com/talks/jennifer_aaker_and_naomi_bagdonas_why_great_leaders_take_humor_seriously
One company at a time,American Family Insurance,January 2022,10000,312,https://ted.com/talks/american_family_insurance_one_company_at_a_time
How comic strips create better health care,Sam Hester,June 2021,880000,26000,https://ted.com/talks/sam_hester_how_comic_strips_create_better_health_care
Why is it so hard to escape poverty?,Ann-Helén Bay,January 2022,1500000,47000,https://ted.com/talks/ann_helen_bay_why_is_it_so_hard_to_escape_poverty
